<let , >
<int , >
<id , 0>
<puntoComa , >
<let , >
<int , >
<id , 1>
<puntoComa , >
<let , >
<int , >
<id , 2>
<puntoComa , >
<let , >
<boolean , >
<id , 3>
<puntoComa , >
<let , >
<boolean , >
<id , 4>
<puntoComa , >
<let , >
<boolean , >
<id , 5>
<puntoComa , >
<let , >
<string , >
<id , 6>
<puntoComa , >
<let , >
<string , >
<id , 70>
<puntoComa , >
<let , >
<string , >
<id , 134>
<puntoComa , >
<function , >
<id , 198>
<parentesisAbierto , >
<parentesisCerrado , >
<llaveAbierta , >
<let , >
<string , >
<id , 0>
<puntoComa , >
<let , >
<boolean , >
<id , 64>
<puntoComa , >
<print , >
<parentesisAbierto , >
<id , 198>
<suma , >
<entero , 8>
<parentesisCerrado , >
<puntoComa , >
<llaveCerrada , >
<function , >
<id , 199>
<parentesisAbierto , >
<boolean , >
<id , 0>
<coma , >
<int , >
<id , 1>
<parentesisCerrado , >
<llaveAbierta , >
<let , >
<string , >
<id , 2>
<puntoComa , >
<let , >
<int , >
<id , 66>
<puntoComa , >
<let , >
<string , >
<id , 67>
<puntoComa , >
<id , 1>
<opAsignacion , >
<id , 66>
<puntoComa , >
<id , 2>
<opAsignacion , >
<id , 70>
<puntoComa , >
<if , >
<parentesisAbierto , >
<id , 66>
<mayor , >
<id , 1>
<parentesisCerrado , >
<id , 198>
<parentesisAbierto , >
<parentesisCerrado , >
<puntoComa , >
<llaveCerrada , >
<function , >
<id , 199>
<int , >
<parentesisAbierto , >
<int , >
<id , 0>
<parentesisCerrado , >
<llaveAbierta , >
<let , >
<string , >
<id , 1>
<puntoComa , >
<let , >
<int , >
<id , 65>
<puntoComa , >
<let , >
<int , >
<id , 66>
<puntoComa , >
<id , 134>
<opAsignacion , >
<id , 6>
<puntoComa , >
<if , >
<parentesisAbierto , >
<id , 0>
<mayor , >
<id , 65>
<parentesisCerrado , >
<id , 199>
<opAsignacion , >
<id , 199>
<parentesisAbierto , >
<id , 0>
<suma , >
<entero , 2>
<parentesisCerrado , >
<puntoComa , >
<return , >
<id , 2>
<puntoComa , >
<llaveCerrada , >
